nombre;descripcion;m2_construidos;m2_totales;n_estacionamientos;n_habitaciones;n_banos;direccion;tipo_inmueble;precio;comuna_cod;propietario_rut;img1;img2;img3;img4
The Ritz-Carlton;Sofisticado y lujoso lugar al frente de la playa, con spa y gym;44;112;3;1;5;Strand Street 230;casa;1850;10102;96262194-1;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Shangri-La Hotel;Hermosa vista a la ciudad, con acceso a piscina y sauna;75;146;2;4;2;Regent Street 637;casa;14710;05301;27357502-2;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Four Seasons;Lugar acogedor con jardines y áreas de recreo;57;232;2;8;5;Pine Street 161;departamento;15720;08111;90876452-5;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
The Peninsula;Moderno y elegante, cercano a centros comerciales;98;117;0;4;1;Strand Street 173;departamento;15185;07402;70350933-6;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Mandarin Oriental;Amplia residencia con vista al mar y jacuzzi;115;179;2;7;5;High Street 547;casa;5355;08107;50456876-5;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Rosewood Hotel;Pintoresco y tranquilo, ideal para familias;139;319;2;4;2;Queen Street 905;casa;6345;05304;00332287-3;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Waldorf Astoria;Estilo clásico con acceso a club y salón de eventos;90;202;2;7;5;Regent Street 181;casa;5220;13501;96036963-9;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Park Hyatt;Diseño contemporáneo, con terraza y bar en la azotea;32;193;1;4;3;Bond Street 147;departamento;17390;03303;74238097-8;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
St. Regis;Encantador y céntrico, perfecto para viajeros de negocios;120;235;1;3;3;Cedar Street 782;casa;5045;08102;06454331-3;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Conrad Hotel;Elegante y espacioso, con gimnasio y salón de belleza;158;248;0;1;3;High Street 703;casa;5275;08201;00254495-9;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
Raffles Hotel;Tradicional y confortable, cerca de parques y museos;36;92;2;2;5;High Street 203;departamento;9575;09113;46833384-4;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
The Langham;Minimalista y moderno, con excelente ubicación;150;329;0;5;4;Fleet Street 754;casa;19725;08102;61287109-8;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
InterContinental;Estilo vintage con detalles artísticos y culturales;106;220;2;6;2;Fifth Avenue 305;departamento;19345;09108;86172060-3;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg;https://images.homes.com/listings/116/0881589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905.jpg;https://images.homes.com/listings/116/4342589483-174373771/1111-brickell-bay-dr-miami-fl-unit-2905-10.jpg
