username;first_name;last_name;email;password;pass_confirm;direccion
96262194-1;Margaret;Thatcher;thatcher.m@gmail.com;394897;394897;Elm Street 142
27357502-2;Kamala;Harris;harris.k@gmail.com;602970;602970;Pine Street 761
90876452-5;Winston;Churchill;churchill.w@gmail.com;157404;157404;High Street 636
70350933-6;Angela;Merkel;merkel.a@gmail.com;362075;362075;Park Avenue 852
50456876-5;Joe;Biden;biden.j@gmail.com;544882;544882;Park Avenue 522
00332287-3;Lai;Ching-te;ching-te.l@gmail.com;294670;294670;Broadway 328
96036963-9;Ronald;Reagan;reagan.r@gmail.com;145857;145857;Broadway 897
74238097-8;Barack;Obama;obama.b@gmail.com;993401;993401;Cedar Street 406
06454331-3;Jacinda;Ardern;ardern.j@gmail.com;253147;253147;Broadway 102
00254495-9;Justin;Trudeau;trudeau.j@gmail.com;721348;721348;Xinsheng Road 191
46833384-4;Emmanuel;Macron;macron.e@gmail.com;947696;947696;Maple Street 748
61287109-8;Boris;Johnson;johnson.b@gmail.com;712066;712066;Fifth Avenue 605
86172060-3;Vladimir;Putin;putin.v@gmail.com;355762;355762;Maple Street 799
71254707-1;Xi;Jinping;jinping.x@gmail.com;732273;732273;High Street 539
10563388-7;Narendra;Modi;modi.n@gmail.com;624209;624209;Broadway 740
62334711-2;Shinzo;Abe;abe.s@gmail.com;867885;867885;Malibu Street 995
09819673-0;Ellen;Johnson;johnson.e@gmail.com;682410;682410;High Street 364
06536752-1;Marine;LePen;lepen.m@gmail.com;531140;531140;Cedar Street 123
88964617-1;Recep;Erdogan;erdogan.r@gmail.com;094309;094309;Zhongxiao 604
12832889-3;Donald;Trump;trump.d@gmail.com;275337;275337;Park Avenue 118
